Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, 1, 2500, 23301.6816, 4.18788146816418, 542.7304, 3377.2704, 0, 
5, 2, 2500, 25341.5844, 5.73614361545928, 477.1484, 4869.9188, 0, 
5, 3, 2500, 23257.2136, 4.59553589484885, 544.6836, 3346.3788, 0, 
5, 4, 2500, 25356.9612, 4.54096841562247, 477.6172, 4870.8676, 0, 
10, 1, 2500, 24833.304, 982.546618132006, 559.8096, 4169.9956, 0, 
10, 2, 2500, 25920.4784, 984.584781690752, 485.022, 5308.86, 0, 
10, 3, 2500, 24815.1616, 985.550312322596, 562.0232, 4151.608, 0, 
10, 4, 2500, 25930.7384, 984.979475776086, 485.6536, 5315.0044, 0, 
15, 1, 2500, 24826.736, 982.533192050354, 559.8456, 4168.8332, 0, 
15, 2, 2500, 25920.1244, 984.629285691815, 485.0528, 5308.4784, 0, 
15, 3, 2500, 24807.5992, 985.534086154999, 562.0588, 4150.7788, 0, 
15, 4, 2500, 25930.6, 984.9881114644, 485.6628, 5314.842, 0, 
20, 1, 2500, 25642.3432, 976.71244279265, 558.3344, 4889.3128, 0, 
20, 2, 2500, 26287.9192, 967.621301621489, 485.2392, 5665.112, 0, 
20, 3, 2500, 25638.1164, 980.343675947807, 560.9424, 4881.602, 0, 
20, 4, 2500, 26287.688, 969.019462119962, 486.1716, 5675.4888, 0, 
25, 1, 2500, 25639.9024, 976.70701152705, 558.3496, 4888.8468, 0, 
25, 2, 2500, 26279.9556, 967.575319441098, 485.2304, 5663.6132, 0, 
25, 3, 2500, 25631.1644, 980.313147473623, 560.9764, 4880.2896, 0, 
25, 4, 2500, 26286.986, 969.039653764192, 486.1844, 5675.2744, 0, 
